corpus	sent_id	left	node	right	node_sentences	usage
ind_mixed_2012_1M	372150	Meskipun Firman Allah, HidupNya Allah, Pengetahuan Allah, Hikmat Allah, Pendengaran Allah, serta Penglihatan Allah ini berbeda hakekatNya dari sebutan yang sama yang	dikenakan	pada makhluk (ciptaan) Nya terutama manusia.	Meskipun Firman Allah, HidupNya Allah, Pengetahuan Allah, Hikmat Allah, Pendengaran Allah, serta Penglihatan Allah ini berbeda hakekatNya dari sebutan yang sama yang <m>dikenakan</m> pada makhluk (ciptaan) Nya terutama manusia.	be applied to
ind_mixed_2012_1M	668222	""" ""Bhante Sariputta tidak akan pernah menyetujui penderitaan apa pun"	dikenakan	pada makhluk hidup, karena beliau telah mencabut semua akar kemarahan.	""" ""Bhante Sariputta tidak akan pernah menyetujui penderitaan apa pun <m>dikenakan</m> pada makhluk hidup, karena beliau telah mencabut semua akar kemarahan."	subject to/imposed
ind_mixed_2012_1M	334173	Pada unitlink dengan adanya biaya yang besar dan	dikenakan	pada nasabah, perusahaan insurance merasa sangat nyaman dan aman.	Pada unitlink dengan adanya biaya yang besar dan <m>dikenakan</m> pada nasabah, perusahaan insurance merasa sangat nyaman dan aman.	subject to/imposed
ind_mixed_2012_1M	563300	Sanki yang	dikenakan	pada non-muslim juga sama dengan sanksi yang dikenakan pada kaum muslimin.	Sanki yang <m>dikenakan</m> pada non-muslim juga sama dengan sanksi yang dikenakan pada kaum muslimin.	subject to/imposed
ind_mixed_2012_1M	966539	Baju yang dibalut lilin	dikenakan	pada orang Kristen lain, dan mereka kemudian diikat di tiang-tiang di kebun Nero lalu dinyalakan untuk dijadikan obor penerang dalam pesta yang ia adakan.	Baju yang dibalut lilin <m>dikenakan</m> pada orang Kristen lain, dan mereka kemudian diikat di tiang-tiang di kebun Nero lalu dinyalakan untuk dijadikan obor penerang dalam pesta yang ia adakan.	wear
ind_mixed_2012_1M	270828	Kedahsyatan hukuman yang	dikenakan	pada orang-orang Kristen sarna besarnya seperti hal yang dilakukan oleh orang-orang kafir, jika orang Kristen melarikan diri dari penganiayaan, se1uruh keluarganya dieksekusi dan harta bendanya dirampas.	Kedahsyatan hukuman yang <m>dikenakan</m> pada orang-orang Kristen sarna besarnya seperti hal yang dilakukan oleh orang-orang kafir, jika orang Kristen melarikan diri dari penganiayaan, se1uruh keluarganya dieksekusi dan harta bendanya dirampas.	subject to/imposed
ind_mixed_2012_1M	32765	Menurut Arief Susilo, dari Bidang Pengaturan dan Penyuluhan Pajak Daerah Dinas Pelayanan Pajak DKI Jakarta, pajak progresif	dikenakan	pada pemilik kendaraan yang memiliki nama dengan alamat yang sama saat registrasi kendaraan.	Menurut Arief Susilo, dari Bidang Pengaturan dan Penyuluhan Pajak Daerah Dinas Pelayanan Pajak DKI Jakarta, pajak progresif <m>dikenakan</m> pada pemilik kendaraan yang memiliki nama dengan alamat yang sama saat registrasi kendaraan.	subject to/imposed
ind_mixed_2012_1M	786962	Sebagai contoh dalam memakai baju bodo warna merah hana boleh	dikenakan	pada pengantin atau orang yang sudah menikah, kebaya gulon pada masa tertentu menunjukkan statusnya sebagai selir.	Sebagai contoh dalam memakai baju bodo warna merah hana boleh <m>dikenakan</m> pada pengantin atau orang yang sudah menikah, kebaya gulon pada masa tertentu menunjukkan statusnya sebagai selir.	wear
ind_mixed_2012_1M	892555	Sanksi pidana kurungan yang	dikenakan	pada Prita bisa membungkam orang lain untuk beropini atau berpendapat.	Sanksi pidana kurungan yang <m>dikenakan</m> pada Prita bisa membungkam orang lain untuk beropini atau berpendapat.	subject to/imposed
ind_mixed_2012_1M	192181	Audit lingkungan wajib	dikenakan	pada proyek atau industri yang telah berjalan.	Audit lingkungan wajib <m>dikenakan</m> pada proyek atau industri yang telah berjalan.	subject to/imposed
ind_mixed_2012_1M	926495	Sebaliknya audit lingkungan sukarela	dikenakan	pada proyek yang telah memenuhi kriteria amdal dan telah beroperasi.	Sebaliknya audit lingkungan sukarela <m>dikenakan</m> pada proyek yang telah memenuhi kriteria amdal dan telah beroperasi.	subject to/imposed
